Timestamp,Image,Model_Source,Evidence_Type,Confidence_Score,Confidence_Text,Visualized,Coords
2026-01-17T12:48:12.736447,scene_1,Custom_Model,Gun,0.001575625385157764,0.16%,NO,"[86, 699, 317, 1258]"
2026-01-17T12:48:12.736458,scene_1,Custom_Model,Gun,0.0015531827230006456,0.16%,NO,"[1289, 208, 2018, 949]"
2026-01-17T12:48:12.736469,scene_1,Custom_Model,Gun,0.00152522639837116,0.15%,NO,"[1256, 412, 1568, 723]"
2026-01-17T12:48:12.736480,scene_1,Custom_Model,Gun,0.0013834144920110703,0.14%,NO,"[1379, 563, 1882, 1151]"
2026-01-17T12:48:12.736491,scene_1,Custom_Model,Gun,0.0013122737873345613,0.13%,NO,"[854, 638, 1319, 1371]"
2026-01-17T12:48:12.736503,scene_1,Custom_Model,Gun,0.0012998117599636316,0.13%,NO,"[421, 149, 1331, 1064]"
2026-01-17T12:48:12.736514,scene_1,Custom_Model,Gun,0.0012476815609261394,0.12%,NO,"[2354, 721, 2596, 1121]"
2026-01-17T12:48:12.736526,scene_1,Custom_Model,Gun,0.0012471486115828156,0.12%,NO,"[0, 1212, 37, 1520]"
2026-01-17T12:48:12.736537,scene_1,Custom_Model,Gun,0.0012367883464321494,0.12%,NO,"[1308, 396, 1355, 456]"
2026-01-17T12:48:12.736548,scene_1,Custom_Model,Blood Stain,0.0011912033660337329,0.12%,NO,"[828, 458, 2657, 1510]"
2026-01-17T12:48:12.736559,scene_1,Custom_Model,Gun,0.0011793745215982199,0.12%,NO,"[1865, 0, 2816, 656]"
2026-01-17T12:48:12.736570,scene_1,Custom_Model,Gun,0.0011536892270669341,0.12%,NO,"[1137, 1008, 1249, 1181]"
2026-01-17T12:48:12.736582,scene_1,Custom_Model,Gun,0.0011500605614855886,0.12%,NO,"[0, 1029, 41, 1392]"
2026-01-17T12:48:12.736593,scene_1,Custom_Model,Blood Stain,0.0011285621440038085,0.11%,NO,"[1172, 32, 2791, 1250]"
2026-01-17T12:48:12.736604,scene_1,Custom_Model,Gun,0.0011132248910143971,0.11%,NO,"[0, 964, 331, 1536]"
2026-01-17T12:48:12.736615,scene_1,Custom_Model,Gun,0.0010872698621824384,0.11%,NO,"[1405, 617, 1527, 720]"
2026-01-17T12:48:12.736627,scene_1,Custom_Model,Gun,0.0010244117584079504,0.10%,NO,"[1277, 487, 1469, 733]"
2026-01-17T12:48:12.736638,scene_1,Custom_Model,Gun,0.0010205713333562016,0.10%,NO,"[0, 0, 859, 779]"
